Heurist ID,Hledaný termín s náboženskou tematikou,Typ,Původ,Krátký popis
2698,Selene,Řecký,Božstvo,Seléné
4231,Semele,Řecký,Božstvo,Semelé
12158,Sibylle,Římský,Role spojená s výkonem víry,Sibylla
7185,Symposiastai,Řecký,Role spojená s výkonem víry,účastník symposia
6802,Symposion,Řecký,Činnost spojená s výkonem víry,symposion
2347,Synmystai,Řecký,Role spojená s výkonem víry,účastník mystérií
1893,tafos,Řecký,Místo spojené s výkonem víry,hrob
6084,Tasages,Uncertain,Epitheton,jméno héroa
3128,Telesphoros,Řecký,Božstvo,Telesforos
1894,thea,Řecký,Božstvo,bohyně
5045,Thea Syria,Jiný,Božstvo,syrská bohyně
2328,Theatron,Řecký,Místo spojené s výkonem víry,divadlo
5075,Themis,Řecký,Božstvo,Themis
14193,Theoi apotropaioi kai alexikakoi,Řecký,Božstvo,ochraňující božstva
12683,Theoi epekooi,Řecký,Božstvo,nastolouchající božstva
6497,theoi katachthoneioi,Řecký,Božstvo,podsvětní božstva
8853,Theoi Katoikidioi,Řecký,Božstvo,domácí božstva
9811,Theoi Olympioi,Řecký,Božstvo,olympská božstva
1895,Theoi Samothrakioi,Řecký,Božstvo,samothrácká božstva
2296,theoroi,Řecký,Role spojená s výkonem víry,úředníci s náboženskou funkcí
1896,theos,Řecký,Božstvo,božstvo
1897,Theos megalos,Řecký,Božstvo,Velký bůh
2629,Therapeutai,Řecký,Role spojená s výkonem víry,"pomocníci, sloužící v kultu"
14328,Thiasotes,Řecký,Role spojená s výkonem víry,"členové náboženského spolku, průvod"
1899,thysia,Řecký,Činnost spojená s výkonem víry,oběť
11586,Thysiastai,Řecký,Role spojená s výkonem víry,obětující
2703,Triptolemos,Řecký,Božstvo,Triptolemos
12042,Tychaion,Řecký,Místo spojené s výkonem víry,chrám bohyně Týché
1900,Tyche,Řecký,Božstvo,Týché
11536,Xoanon,Řecký,Místo spojené s výkonem víry,ritiuální dřevěná socha
2652,Zakoros,Řecký,Role spojená s výkonem víry,pomocník v chrámu
1901,Zeus,Řecký,Božstvo,Zeus
