Heurist ID,Geografický termín,Typ,Krátký popis,Moderní jméno lokality,Koordináty (WKT formát)
7988,Selletike,Osídlení,město,v okolí města Marciánopolis,
2120,Selymbria,Osídlení,město,Silivri,POINT(28.247868 41.073678)
2078,Seuthopolis,Osídlení,město,Koprinka,POINT(25.3034842 42.6170941)
7619,Skedabria,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
10911,Skeiame,Osídlení,osídlení,,POINT(23.2246685 41.6639997)
7623,Skepte,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
11642,Skerezis,Osídlení,osídlení,,
3439,Smyrna / Zmyrna,Osídlení,město,Izmir,POINT(27.1219826 38.4122732)
2091,Sparta,Osídlení,město,Sparta,POINT(22.430264 37.074461)
10627,Spinopara,Osídlení,vesnice,,POINT(22.7822113 42.3239049)
7620,Stratopara,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
7634,Strouneilos,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
14075,Syria,Území,území,Syria,
2133,Teos,Území,město,Sığacık,POINT(26.777552 38.187557)
2332,Thessalonike,Osídlení,město,Soluň - Thessaloniki,POINT(22.9446064 40.6393495)
11530,Thoukysidantike (strategia),Území,stratégia,,
2167,Thrake,Území,území,Thrákie,POINT(26.4086816 42.2640806)
3347,Traianoupolis,Osídlení,město,Traianoupoli ,POINT(26.0320616 40.8648481)
12052,Troias,Území,území,okolí Tróje,
2123,Tyras,Osídlení,město, Bilhorod-Dnistrovskyi,POINT(30.3414908 46.1854516)
3125,Vicus Trullensium,Osídlení,vesnice,Kunino,POINT(23.997 43.18792)
10893,Zebastene,Území,thrácká vesnice,,
10892,Zerklene,Území,thrácká vesnice,,
11531,Zraike (strategia),Území,stratégia,,
11194,Zylouzeny?,Osídlení,thrácká vesnice,,
